Song,Algo,OPS
Signe Jakobsen - What Have You Done To Me,JY3,33.45
Signe Jakobsen - What Have You Done To Me,STL1,15.37
Signe Jakobsen - What Have You Done To Me,TAU1,30.84
Signe Jakobsen - What Have You Done To Me,MDL1,26.54
Signe Jakobsen - What Have You Done To Me,TAK2,32.97
Signe Jakobsen - What Have You Done To Me,UHL3,29.88
Georgia Wonder - Siren,JY3,30.33
Georgia Wonder - Siren,STL1,12.03
Georgia Wonder - Siren,TAU1,23.00
Georgia Wonder - Siren,MDL1,22.24
Georgia Wonder - Siren,TAK2,24.58
Georgia Wonder - Siren,UHL3,21.63
Enda Reilly - Cur An Long Ag Seol,JY3,22.03
Enda Reilly - Cur An Long Ag Seol,STL1,20.38
Enda Reilly - Cur An Long Ag Seol,TAU1,8.55
Enda Reilly - Cur An Long Ag Seol,MDL1,11.80
Enda Reilly - Cur An Long Ag Seol,TAK2,8.44
Enda Reilly - Cur An Long Ag Seol,UHL3,8.55
The Sunshine Garcia Band - For I Am The Moon,JY3,28.57
The Sunshine Garcia Band - For I Am The Moon,STL1,13.80
The Sunshine Garcia Band - For I Am The Moon,TAU1,8.38
The Sunshine Garcia Band - For I Am The Moon,MDL1,10.94
The Sunshine Garcia Band - For I Am The Moon,TAK2,8.29
The Sunshine Garcia Band - For I Am The Moon,UHL3,8.21
Juliet_s Rescue - Heartbeats,JY3,34.36
Juliet_s Rescue - Heartbeats,STL1,16.95
Juliet_s Rescue - Heartbeats,TAU1,21.92
Juliet_s Rescue - Heartbeats,MDL1,23.65
Juliet_s Rescue - Heartbeats,TAK2,21.32
Juliet_s Rescue - Heartbeats,UHL3,25.74
James Elder_Mark M Thompson - The English Actor,JY3,31.22
James Elder_Mark M Thompson - The English Actor,STL1,10.67
James Elder_Mark M Thompson - The English Actor,TAU1,27.53
James Elder_Mark M Thompson - The English Actor,MDL1,21.88
James Elder_Mark M Thompson - The English Actor,TAK2,25.69
James Elder_Mark M Thompson - The English Actor,UHL3,29.55
Tom McKenzie - Directions,JY3,38.76
Tom McKenzie - Directions,STL1,19.33
Tom McKenzie - Directions,TAU1,9.06
Tom McKenzie - Directions,MDL1,12.91
Tom McKenzie - Directions,TAK2,8.38
Tom McKenzie - Directions,UHL3,31.41
Hollow Ground - Ill Fate,JY3,37.57
Hollow Ground - Ill Fate,STL1,22.20
Hollow Ground - Ill Fate,TAU1,40.84
Hollow Ground - Ill Fate,MDL1,33.19
Hollow Ground - Ill Fate,TAK2,37.78
Hollow Ground - Ill Fate,UHL3,36.83
Buitraker - Revo X,JY3,20.14
Buitraker - Revo X,STL1,11.97
Buitraker - Revo X,TAU1,21.19
Buitraker - Revo X,MDL1,18.10
Buitraker - Revo X,TAK2,21.77
Buitraker - Revo X,UHL3,18.30
Ben Carrigan - We_ll Talk About It All Tonight,JY3,25.70
Ben Carrigan - We_ll Talk About It All Tonight,STL1,14.49
Ben Carrigan - We_ll Talk About It All Tonight,TAU1,23.11
Ben Carrigan - We_ll Talk About It All Tonight,MDL1,21.74
Ben Carrigan - We_ll Talk About It All Tonight,TAK2,27.34
Ben Carrigan - We_ll Talk About It All Tonight,UHL3,24.14
Raft Monk - Tiring,JY3,30.91
Raft Monk - Tiring,STL1,13.15
Raft Monk - Tiring,TAU1,15.21
Raft Monk - Tiring,MDL1,23.25
Raft Monk - Tiring,TAK2,26.96
Raft Monk - Tiring,UHL3,20.65
Al James - Schoolboy Facination,JY3,40.84
Al James - Schoolboy Facination,STL1,14.98
Al James - Schoolboy Facination,TAU1,22.68
Al James - Schoolboy Facination,MDL1,22.00
Al James - Schoolboy Facination,TAK2,30.32
Al James - Schoolboy Facination,UHL3,36.65
Angels In Amplifiers - I_m Alright,JY3,34.83
Angels In Amplifiers - I_m Alright,STL1,10.87
Angels In Amplifiers - I_m Alright,TAU1,19.63
Angels In Amplifiers - I_m Alright,MDL1,21.67
Angels In Amplifiers - I_m Alright,TAK2,17.88
Angels In Amplifiers - I_m Alright,UHL3,27.53
